<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20110330,000000,225.5100000,229.5000000,225.3700000,229.3200000,79777480
GAZP,D,20110331,000000,229.3800000,230.4400000,228.3000000,229.0900000,70108740
GAZP,D,20110401,000000,229.1000000,235.4000000,228.0600000,235.1000000,77619810
GAZP,D,20110404,000000,235.9800000,240.7500000,235.1700000,237.7000000,101744410
GAZP,D,20110405,000000,238.4600000,239.3000000,235.5500000,238.7200000,71036250
GAZP,D,20110406,000000,239.0900000,241.9500000,237.0100000,239.4000000,70836160
GAZP,D,20110407,000000,238.3000000,240.2300000,236.5400000,238.0000000,63420600
GAZP,D,20110408,000000,239.6700000,243.7000000,239.1200000,243.2000000,75461620
GAZP,D,20110411,000000,243.5100000,247.4700000,241.7700000,244.0000000,93008010
GAZP,D,20110412,000000,240.7000000,241.4900000,234.4600000,235.5700000,101913150
GAZP,D,20110413,000000,236.1700000,237.2900000,232.7700000,235.0700000,87416010
GAZP,D,20110414,000000,234.6400000,234.6700000,226.9000000,228.8700000,80224520
GAZP,D,20110415,000000,228.6300000,231.7800000,227.1400000,227.6000000,80757900
GAZP,D,20110418,000000,227.7000000,228.9000000,217.0000000,218.9100000,90891410
GAZP,D,20110419,000000,221.2200000,225.8000000,220.7000000,225.6900000,73437740
GAZP,D,20110420,000000,227.4000000,231.2900000,227.0500000,230.5100000,73440720
GAZP,D,20110421,000000,233.1100000,235.0000000,231.5900000,235.0000000,76105300
GAZP,D,20110422,000000,235.3500000,237.2700000,235.0000000,236.8900000,27708770
GAZP,D,20110425,000000,238.0300000,239.7700000,233.5500000,233.9000000,60932270
GAZP,D,20110426,000000,232.7300000,235.2800000,228.7000000,232.1400000,69203150
GAZP,D,20110427,000000,234.2500000,234.8500000,229.1000000,231.9000000,63618580
GAZP,D,20110428,000000,235.0100000,235.6000000,229.6300000,231.9000000,63313250
GAZP,D,20110429,000000,230.7400000,232.6900000,228.1500000,231.7800000,37402850
GAZP,D,20110503,000000,231.0200000,232.0000000,220.8900000,221.6400000,64528250
GAZP,D,20110504,000000,222.1000000,223.0000000,211.1200000,212.4400000,113979210
GAZP,D,20110505,000000,213.6100000,215.4500000,205.1200000,208.8000000,109274770
GAZP,D,20110506,000000,206.3200000,213.0500000,204.7000000,211.6800000,110261810
GAZP,D,20110510,000000,210.6800000,215.6700000,210.1300000,214.0000000,72594000
GAZP,D,20110511,000000,215.2700000,217.1900000,209.0200000,210.0000000,69701490
GAZP,D,20110512,000000,208.2100000,208.4800000,201.2500000,203.1200000,87211980
GAZP,D,20110513,000000,204.0100000,204.8700000,200.6200000,201.0800000,67509790
GAZP,D,20110516,000000,199.2800000,202.0000000,196.3800000,198.4900000,80073440
GAZP,D,20110517,000000,198.6100000,200.4900000,196.0000000,198.5000000,61193010
GAZP,D,20110518,000000,200.9000000,203.0000000,199.0000000,202.8500000,59667360
GAZP,D,20110519,000000,203.3000000,206.1600000,200.5700000,201.3600000,80181340
GAZP,D,20110520,000000,202.0000000,203.8000000,195.6000000,196.9000000,74753650
GAZP,D,20110523,000000,194.9900000,195.3700000,190.0500000,190.3000000,72338120
GAZP,D,20110524,000000,191.3400000,195.9500000,191.3000000,195.5000000,64612870
GAZP,D,20110525,000000,193.4400000,196.9900000,192.5000000,196.7700000,69555810
GAZP,D,20110526,000000,198.1700000,199.2400000,194.2000000,195.0000000,77171420
GAZP,D,20110527,000000,196.6900000,202.5000000,195.7700000,201.8200000,83415690
GAZP,D,20110530,000000,201.8000000,204.4000000,201.4700000,203.8900000,32136910
GAZP,D,20110531,000000,205.2200000,207.7500000,203.9500000,204.0200000,65101970
GAZP,D,20110601,000000,205.4200000,206.6000000,203.1300000,203.4800000,62583320
GAZP,D,20110602,000000,200.6700000,202.3000000,198.5600000,201.6800000,74500160
GAZP,D,20110603,000000,201.4000000,203.0000000,195.1100000,196.5500000,82865600
GAZP,D,20110606,000000,196.5000000,197.4100000,194.0700000,195.9700000,53736200
GAZP,D,20110607,000000,195.5700000,204.9000000,195.1500000,204.6700000,91268730
GAZP,D,20110608,000000,204.0000000,208.7500000,202.1000000,207.1100000,86341060
GAZP,D,20110609,000000,207.6600000,212.4900000,206.1800000,211.9200000,90296030
GAZP,D,20110610,000000,211.0000000,211.3800000,207.3000000,209.2100000,73626670
GAZP,D,20110614,000000,210.6000000,211.2500000,207.3700000,208.2400000,48615700
GAZP,D,20110615,000000,208.3700000,210.4900000,205.6000000,206.0000000,67304760
GAZP,D,20110616,000000,203.5700000,205.4900000,201.6500000,204.6000000,70556820
GAZP,D,20110617,000000,203.4900000,203.9500000,198.1800000,200.8000000,82459700
GAZP,D,20110620,000000,199.2900000,200.7700000,197.8000000,199.0000000,47818710
GAZP,D,20110621,000000,200.6700000,202.1900000,199.7800000,200.9500000,41605190
GAZP,D,20110622,000000,201.5500000,202.8700000,198.5000000,202.5400000,56933770
